ID,DateTime,PrecipStation,PRmax,PRmin,PTmin,PTmax,PRAvg,PTAvg,PAttAvg,XStart,YStart,RSL_MIN,RSL_MAX,RSL_AVG,TSL_MIN,TSL_MAX,TSL_AVG,SLAttn,XEnd,YEnd,PathLength,distance,Frequency,FrequencyBand,Wet/Dry,R
6,2018-05-13 22:00:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-12 01:15:00,curw_jaffna,9.332543007969919e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.7,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-15 07:45:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-09 22:15:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.4,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-07 03:00:00,curw_jaffna,9.120108393559095e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.7,-30.4,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-07 12:30:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-15 19:15:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847757027056198,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.3,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-08 19:30:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.4,-30.6,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-10 05:15:00,curw_jaffna,9.120108393559095e-07,6.165950018614819e-07,0.01584893192461114,0.01584893192461114,6.918309709189361e-07,0.01584893192461114,0.015847976932025113,9.74531,80.0307,-32.1,-30.4,-31.6,12.0,12.0,12.0,42.2,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-06 14:00:00,curw_jaffna,9.332543007969919e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847757027056198,9.74531,80.0307,-30.7,-30.3,-30.5,12.0,12.0,12.0,41.3,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-07 22:30:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-14 09:15:00,curw_jaffna,9.120108393559095e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.9,-30.4,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-13 09:45:00,curw_jaffna,9.120108393559095e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.9,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-10 21:00:00,curw_jaffna,9.549925860214348e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.01584783544641499,9.74531,80.0307,-30.8,-30.2,-30.6,12.0,12.0,12.0,41.6,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-13 09:30:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-05 13:00:00,curw_jaffna,9.549925860214348e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.2,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-13 10:00:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-12 22:30:00,curw_jaffna,9.332543007969919e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.7,-30.3,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-10 14:00:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.4,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-15 22:00:00,curw_jaffna,9.549925860214348e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.2,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-11 10:00:00,curw_jaffna,9.120108393559095e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.9,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-06 07:15:00,curw_jaffna,9.549925860214348e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.2,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-13 10:30:00,curw_jaffna,9.120108393559095e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.9,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-07 12:45:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.4,-30.6,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-06 09:15:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.4,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-09 11:30:00,curw_jaffna,9.120108393559095e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-10 00:30:00,curw_jaffna,9.332543007969919e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.7,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-10 21:15:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-12 00:45:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-14 09:30:00,curw_jaffna,9.332543007969919e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.9,-30.3,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-13 10:15:00,curw_jaffna,9.120108393559095e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.9,-30.4,-30.6,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-05 15:45:00,curw_jaffna,9.332543007969919e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847757027056198,9.74531,80.0307,-30.7,-30.3,-30.5,12.0,12.0,12.0,41.3,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-14 20:45:00,curw_jaffna,9.549925860214348e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.2,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-15 12:45:00,curw_jaffna,9.120108393559095e-07,8.128305161640997e-07,0.01584893192461114,0.01584893192461114,8.709635899560798e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.9,-30.4,-30.6,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-12 01:00:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-07 02:45:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-08 07:00:00,curw_jaffna,9.549925860214348e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.2,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-05 15:30:00,curw_jaffna,9.332543007969919e-07,8.51138038202376e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847783770989634,9.74531,80.0307,-30.7,-30.3,-30.5,12.0,12.0,12.0,41.4,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
6,2018-05-10 00:45:00,curw_jaffna,9.332543007969919e-07,8.317637711026708e-07,0.01584893192461114,0.01584893192461114,8.912509381337454e-07,0.01584893192461114,0.015847809906156828,9.74531,80.0307,-30.8,-30.3,-30.5,12.0,12.0,12.0,41.5,9.74961,80.0291,0.5069728755548129,9.585667256057594," 26,079.00 ",26,Dry,0.0
